"URL","Title","Topics","Format","Document type","File format","As Is VA.gov Teaser Text","Write or Revise?","To Be VA.gov Teaser Text","Social share teaser text","Social share CTA URL"
" #ExploreVA to see how VA benefits help Veterans live life to the fullest after military service.","#ExploreVA to see how VA benefits help Veterans live life to the fullest after military service.","General benefits information","Shareable",,,"#ExploreVA to see how VA benefits help Veterans live life to the fullest after military service.",,,,
"#ExploreVA to learn how VA honors Veterans and their families with final resting places in national cemeteries.","#ExploreVA to learn how VA honors Veterans and their families with final resting places in national cemeteries.","Burials and memorials","Shareable",,,"#ExploreVA to learn how VA honors Veterans and their families with final resting places in national cemeteries.",,,,
"#ExploreVA: Veterans of any age and service era may qualify for a VA-guaranteed home loan—a benefit they can reuse.","#ExploreVA: Veterans of any age and service era may qualify for a VA-guaranteed home loan—a benefit they can reuse.","Housing assistance","Shareable",,,"#ExploreVA: Veterans of any age and service era may qualify for a VA-guaranteed home loan—a benefit they can reuse.",,,,
"Encourage Veterans in your life to #ExploreVA’s world-class health care.","Encourage Veterans in your life to #ExploreVA’s world-class health care.","Health care","Shareable",,,"Encourage Veterans in your life to #ExploreVA’s world-class health care.",,,,
"Encourage Veterans you know to #ExploreVA tax-free pension benefits.","Encourage Veterans you know to #ExploreVA tax-free pension benefits.","Pension","Shareable",,,"Encourage Veterans you know to #ExploreVA tax-free pension benefits.",,,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-1-170x155.jpg","ExploreVA Web Badge (170 x 155) - Veterans: Find Out How You Can Benefit","General benefits information","Shareable",,"jpg","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-1-180x150.png","ExploreVA Web Badge (180 x 150) - Veterans: Find Out How You Can Benefit","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-1-180x60.png","ExploreVA Web Badge (180 x 60) - Veterans: Find Out How You Can Benefit","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-1-184x90.jpg","ExploreVA Web Badge (184 x 90) - Veterans: Find Out How You Can Benefit","General benefits information","Shareable",,"jpg","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-1-205x175.jpg","ExploreVA Web Badge (205 x 175) - Veterans: Find Out How You Can Benefit","General benefits information","Shareable",,"jpg","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-1-300x250.png","ExploreVA Web Badge (300 x 250) - Veterans: Find Out How You Can Benefit","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-2-170x155.jpg","ExploreVA Web Badge (170 x 155) - Benefits for Those Who Served","General benefits information","Shareable",,"jpg","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-2-180x150.png","ExploreVA Web Badge (180 x 150) - Benefits for Those Who Served","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-2-180x60.png","ExploreVA Web Badge (180 x 60) - Benefits for Those Who Served","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-2-184x90.jpg","ExploreVA Web Badge (184 x 90) - Benefits for Those Who Served","General benefits information","Shareable",,"jpg","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-2-205x175.jpg","ExploreVA Web Badge (205 x 175) - Benefits for Those Who Served","General benefits information","Shareable",,"jpg","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-2-300x250.png","ExploreVA Web Badge (300 x 250) - Benefits for Those Who Served","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-3-180x60.png","ExploreVA Web Badge (180 x 60) light background - VA Serves Veterans and Their Families","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/content/share/badges/ExploreVA-Web-Badge-4-180x60.png","ExploreVA Web Badge (180 x 60) dark background - VA Serves Veterans and Their Families","General benefits information","Shareable",,"png","Web badges","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.611.jpg","Did you know? Most VA-guaranteed home loans do not require Veterans to make a down payment  leaving more money in their pockets.","Housing assistance","Shareable",,"jpg","Social Graphics","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.615.jpg","Spread the word about VA benefits to help the Veterans in your life.","General benefits information","Shareable",,"jpg","Social Graphics","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.619.jpg","Did you know? VA has a range of benefits to help Servicemembers transition to life after the military.","General benefits information","Shareable",,"jpg","Social Graphics","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.63.jpg","Now that youre home  #ExploreVA. We can help more than you think.","General benefits information","Shareable",,"jpg","Social Graphics","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.66.jpg","Did you know? More than 8.3 million Veterans choose VA health care and many more may be eligible.","Health care","Shareable",,"jpg","Social Graphics","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.67.jpg","Honor Veterans. Encourage them to #ExploreVA.","General benefits information","Shareable",,"jpg","Social Graphics","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.69.jpg","Spread the word about VA benefits to help the Veterans in your life.","General benefits information","Shareable",,"jpg","Social Graphics","Y",,,
"https://explore.va.gov/Content/Share/images/EVA-016-Social-Graphics-2.82.jpg","With new VA national  state and tribal cemeteries opening soon  most Veterans will have a burial option within about an hours d","Burials and memorials","Shareable",,"jpg","Social Graphics","Y",,,
