Id ;Facility Name;VAMC System Health Service;Facility description of services;Owner
vha_504 - Addiction and substance abuse care;Thomas E. Creek Department of Veterans Affairs Medical Center;Addiction and substance abuse care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Audiology and speech;Thomas E. Creek Department of Veterans Affairs Medical Center;Audiology and speech at VA Amarillo health care;;VA Amarillo health care
vha_504 - Cardiology;Thomas E. Creek Department of Veterans Affairs Medical Center;Cardiology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Caregiver support;Thomas E. Creek Department of Veterans Affairs Medical Center;Caregiver support at VA Amarillo health care;;VA Amarillo health care
vha_504 - Critical care;Thomas E. Creek Department of Veterans Affairs Medical Center;Critical care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Dental/oral surgery;Thomas E. Creek Department of Veterans Affairs Medical Center;Dental/oral surgery at VA Amarillo health care;;VA Amarillo health care
vha_504 - Dermatology;Thomas E. Creek Department of Veterans Affairs Medical Center;Dermatology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Emergency care;Thomas E. Creek Department of Veterans Affairs Medical Center;Emergency care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Endocrinology;Thomas E. Creek Department of Veterans Affairs Medical Center;Endocrinology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Extended care and rehabilitation;Thomas E. Creek Department of Veterans Affairs Medical Center;Extended care and rehabilitation at VA Amarillo health care;;VA Amarillo health care
vha_504 - Gastroenterology;Thomas E. Creek Department of Veterans Affairs Medical Center;Gastroenterology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Hematology/oncology;Thomas E. Creek Department of Veterans Affairs Medical Center;Hematology/oncology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Homeless Veteran care;Thomas E. Creek Department of Veterans Affairs Medical Center;Homeless Veteran care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Infectious disease;Thomas E. Creek Department of Veterans Affairs Medical Center;Infectious disease at VA Amarillo health care;;VA Amarillo health care
vha_504 - Internal medicine;Thomas E. Creek Department of Veterans Affairs Medical Center;Internal medicine at VA Amarillo health care;;VA Amarillo health care
vha_504 - Laboratory and pathology;Thomas E. Creek Department of Veterans Affairs Medical Center;Laboratory and pathology at VA Amarillo health care;;VA Amarillo health care
vha_504 - LGBT Veteran care;Thomas E. Creek Department of Veterans Affairs Medical Center;LGBT Veteran care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Mental health care;Thomas E. Creek Department of Veterans Affairs Medical Center;Mental health care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Minority Veteran care;Thomas E. Creek Department of Veterans Affairs Medical Center;Minority Veteran care at VA Amarillo health care;;VA Amarillo health care
vha_504 - MOVE! weight management;Thomas E. Creek Department of Veterans Affairs Medical Center;MOVE! weight management at VA Amarillo health care;;VA Amarillo health care
vha_504 - Nephrology;Thomas E. Creek Department of Veterans Affairs Medical Center;Nephrology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Neurology;Thomas E. Creek Department of Veterans Affairs Medical Center;Neurology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Nutrition, food, and dietary care;Thomas E. Creek Department of Veterans Affairs Medical Center;Nutrition, food, and dietary care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Palliative and hospice care;Thomas E. Creek Department of Veterans Affairs Medical Center;Palliative and hospice care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Patient advocates;Thomas E. Creek Department of Veterans Affairs Medical Center;Patient advocates at VA Amarillo health care;;VA Amarillo health care
vha_504 - Pharmacy;Thomas E. Creek Department of Veterans Affairs Medical Center;Pharmacy at VA Amarillo health care;;VA Amarillo health care
vha_504 - Physical therapy, occupational therapy and kinesiotherapy;Thomas E. Creek Department of Veterans Affairs Medical Center;Physical therapy, occupational therapy and kinesiotherapy at VA Amarillo health care;;VA Amarillo health care
vha_504 - Primary care;Thomas E. Creek Department of Veterans Affairs Medical Center;Primary care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Pulmonary medicine;Thomas E. Creek Department of Veterans Affairs Medical Center;Pulmonary medicine at VA Amarillo health care;;VA Amarillo health care
vha_504 - Radiology;Thomas E. Creek Department of Veterans Affairs Medical Center;Radiology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Recreation and creative arts therapy;Thomas E. Creek Department of Veterans Affairs Medical Center;Recreation and creative arts therapy at VA Amarillo health care;;VA Amarillo health care
vha_504 - Rehabilitation and prosthetics;Thomas E. Creek Department of Veterans Affairs Medical Center;Rehabilitation and prosthetics at VA Amarillo health care;;VA Amarillo health care
vha_504 - Returning service member care;Thomas E. Creek Department of Veterans Affairs Medical Center;Returning service member care at VA Amarillo health care;;VA Amarillo health care
vha_504 - Rheumatology;Thomas E. Creek Department of Veterans Affairs Medical Center;Rheumatology at VA Amarillo health care;;VA Amarillo health care
vha_504 - Smoking and tobacco cessation;Thomas E. Creek Department of Veterans Affairs Medical Center;Smoking and tobacco cessation at VA Amarillo health care;;VA Amarillo health care
vha_504 - Suicide prevention;Thomas E. Creek Department of Veterans Affairs Medical Center;Suicide prevention at VA Amarillo health care;;VA Amarillo health care
vha_504 - Telehealth;Thomas E. Creek Department of Veterans Affairs Medical Center;Telehealth at VA Amarillo health care;;VA Amarillo health care
vha_504 - Women Veteran care;Thomas E. Creek Department of Veterans Affairs Medical Center;Women Veteran care at VA Amarillo health care;;VA Amarillo health care
vha_504GA - Primary care;Childress VA Clinic;Primary care at VA Amarillo health care;;VA Amarillo health care
vha_504BZ - Primary care;Clovis VA Clinic;Primary care at VA Amarillo health care;;VA Amarillo health care
vha_504BZ - Urgent care;Clovis VA Clinic;Urgent care at VA Amarillo health care;;VA Amarillo health care
vha_504HB - Primary care;Dalhart VA Clinic;Primary care at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Blind and low vision rehabilitation;Lubbock VA Clinic;Blind and low vision rehabilitation at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Dental/oral surgery;Lubbock VA Clinic;Dental/oral surgery at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Dermatology;Lubbock VA Clinic;Dermatology at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Gynecology;Lubbock VA Clinic;Gynecology at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Laboratory and pathology;Lubbock VA Clinic;Laboratory and pathology at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Mental health care;Lubbock VA Clinic;Mental health care at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Ophthalmology;Lubbock VA Clinic;Ophthalmology at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Optometry;Lubbock VA Clinic;Optometry at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Pharmacy;Lubbock VA Clinic;Pharmacy at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Physical therapy, occupational therapy and kinesiotherapy;Lubbock VA Clinic;Physical therapy, occupational therapy and kinesiotherapy at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Podiatry;Lubbock VA Clinic;Podiatry at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Primary care;Lubbock VA Clinic;Primary care at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Radiology;Lubbock VA Clinic;Radiology at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Registry exams;Lubbock VA Clinic;Registry exams at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Social work;Lubbock VA Clinic;Social work at VA Amarillo health care;;VA Amarillo health care
vha_504BY - Urology;Lubbock VA Clinic;Urology at VA Amarillo health care;;VA Amarillo health care
vha_674 - Advice nurse;'Olin E. Teague Veterans'' Center';Advice nurse at VA Central Texas health care;;VA Central Texas health care
vha_674 - Amputation care;'Olin E. Teague Veterans'' Center';Amputation care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Audiology and speech;'Olin E. Teague Veterans'' Center';Audiology and speech at VA Central Texas health care;;VA Central Texas health care
vha_674 - Cardiology;'Olin E. Teague Veterans'' Center';Cardiology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Caregiver support;'Olin E. Teague Veterans'' Center';Caregiver support at VA Central Texas health care;;VA Central Texas health care
