Id;Facility;VAMC System Health Service;Facility description of services;Owner
'VAMC-FY-1';'Allentown VA Clinic';'Audiology and speech at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m.to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-2';'Allentown VA Clinic';'Dental/oral surgery at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-3';'Allentown VA Clinic';'Diabetes at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-4';'Allentown VA Clinic';'Laboratory and pathology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-5';'Allentown VA Clinic';'Mental health care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-6';'Allentown VA Clinic';'Nutrition, food, and dietary at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-7';'Allentown VA Clinic';'Ophthalmology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-8';'Allentown VA Clinic';'Optometry at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-9';'Allentown VA Clinic';'Primary Care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-10';'Allentown VA Clinic';'Social Work at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
