'ID';'Facility Name';'VACM System Health Service';'Facility description of services';'Owner'
'vha_402 ';'Togus VA Medical Center';'Caregiver support at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Extended care and rehabilitation at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Geriatrics at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Homeless Veteran care at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Intimate partner violence support at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'LGBTQ+ Veteran care at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Mental health care at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Minority Veteran care at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Pain management at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Patient advocates at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Pharmacy at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Returning service member care at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Spinal cord injury and disorders at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Suicide prevention at VA Maine health care';;'VA Maine health care'
'vha_402 ';'Togus VA Medical Center';'Women Veteran care at VA Maine health care';;'VA Maine health care'
'vha_402GA ';'Caribou VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402GA ';'Caribou VA Clinic';'Mental health care at VA Maine health care';;'VA Maine health care'
'vha_402GA ';'Caribou VA Clinic';'Pharmacy at VA Maine health care';;'VA Maine health care'
'vha_402GA ';'Caribou VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402GA ';'Caribou VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402GB ';'Calais VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402GB ';'Calais VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402GC ';'Rumford VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402GC ';'Rumford VA Clinic';'Mental health care at VA Maine health care';;'VA Maine health care'
'vha_402GC ';'Rumford VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402GC ';'Rumford VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402GD ';'Saco VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402GD ';'Saco VA Clinic';'Mental health care at VA Maine health care';;'VA Maine health care'
'vha_402GD ';'Saco VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402GD ';'Saco VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402GE ';'Lewiston VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402GE ';'Lewiston VA Clinic';'Mental health care at VA Maine health care';;'VA Maine health care'
'vha_402GE ';'Lewiston VA Clinic';'Pharmacy at VA Maine health care';;'VA Maine health care'
