Account Name,Account ID,Parent Account,Parent Account ID,Mail Code,Organization Code,Office Type,Station Number,District VEO,Description,Account Record Type,Type,VA Organization Acronym,Active,Office Inactive,Account Owner,Top Parent Id,City,State,Phone,Fax,Website,MyVA Communities Added,NND,VIEWS Account,In FOM?,FOM Sort Order,Org Chart Needed?,Levels To Display In Hierarchy,Point of Contact,Secondary Point of Contact,FOM Coordinator,FOM Approver,FOM Data Request Due Date,Intranet URL,External URL,Certified Ready for FOM,Sub-Levels Ready For FOM,Ready for FOM By,Ready for FOM Date,Month's Since Validation,Last FOM Data Request Created Date,FOM Review Notification Sent Date,Mission,Overview,Activities,Org Chart Image,VIEWS Queue ID,VIEWS Custom Queue Name,VIEWS Group ID,VIEWS Nested Group ID,Related Contracts' Total Value
VHA-10ETH National Center for Ethics in Health Care,001t0000009wAxf,"VHA-10ORE Oversight, Risk and Ethics",001t0000009wAx9,10ETH,10,Organization,10ETH,,,VA Organization,,VHA,Yes,0,Integration User,001t0000003bSjB,Washington,,,,,0,No,1,Yes,,0,,,,Amy Nelson,Toby Schonfeld,,https://vaww.ethics.va.gov/,https://www.ethics.va.gov/,1,1,Joshua Hester,6/1/2021,-5,6/15/2021,,,"The National Center for Ethics in Health Care (NCEHC/10ETH) is the primary VHA resource for addressing the complex ethical issues that arise in health care, including issues relating to clinical ethics, organizational ethics, and research ethics.  NCEHC works collaboratively with program offices and field stakeholders to make recommendations to promote strong ethics and professionalism standards.  It aims to continuously improve VHA?s ethics-related decisions, actions, systems, processes, environment, and culture by establishing standards and providing analysis, information, education, advice, and support to VHA senior leadership, field facilities and program offices.","?	Interprets, clarifies and establishes updates to standards for ethical health care practice by providing policies, authoritative reports, and other similar guidance, including providing ethics consultation services to VA patients, families, stakeholders, and staff, and publishing information for Veterans to help them understand the ethics standards they can expect VHA to uphold.
?	Creates and promulgates a model for healthcare ethics programs; establishes program standards and annual performance targets, roles, responsibilities and training requirements for field-based ethics staff.
?	Serves as a resource for information, advice, support, and collaboration related to ethics in health care within VHA including representing VHA on matters relating to healthcare ethics in communications with media, Congress, and the White House.
?	Ensures ethical practices are included in the design and implementation of the new Electronic Health Record System and in the overall approach to data sharing at VA.
?	Supports efforts to enhance ethical health care practices by conducting and facilitating evaluation of ethics programs and practices in VHA; develops measures to assess the quality of ethics consultation practices and to monitor the implementation of specific ethics policy standards.",,00Gt0000000ne15EAA,,00Gt0000000HSazEAG,00Gt0000000ne4YEAQ,
HRA/OSP-07C2 Personnel Security and Credential Management,001t000000DjLfo,"HRA/OSP-07C Office of Identity, Credential, and Access Management",001t0000009wAvX,07C2A,7,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Integration VAIQ User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The Personnel Security Program  is responsible for providing management, oversight, and compliance of Department-wide personnel security and suitability programs, to include personnel security and suitability policies and processes.","?	Manages the VA Centralized Adjudication and Background Investigation System (VA-CABS), a secure, end-to-end IT system application enabling continuous subject evaluation and timely dissemination of, and access to, personnel security information from trusted information providers.

?	Develops and implements policies and processes that define VA requirements for compliance with applicable statutes, Executive Orders and Federal regulations for all VA employees, contractors and affiliates.

?	Coordinates with other agencies and exchanges personnel security and suitability information with the OPM, Office of the Director of National Intelligence (ODNI) and other agencies.

?	Conducts training, oversight and compliance of VA Administrations that perform personnel security and credential management functions.",,,,,,0
HRA/OSP-07D1c Northwest Region Director,001t000000XEDQ9,HRA/OSP-07D1 Director of Operations,001t000000XEDO2,07D1c,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The Northwest Region Director is responsible for VA police operations pertaining to accountability, oversight, standardization and strengthening of VA police programs at VA facilities across the Nation. This office spans multi-state areas with regional directors and regional managers. The Office assesses compliance,  standardization, and critical security and law enforcement program actions across the Department.","?Serves as a senior law enforcement and security official within a defined geographical region.                                                                                                                                ?Responsible for the oversight, guidance, and facilitation of the law enforcement and physical security activities at Veterans Affairs Medical Centers/Health Care Systems, Community Based Outpatient Clinics (CBOC), Veterans Benefit Administration Offices, and National Cemetery Administration properties within the region.                                                                                                                                          ?Exercises initiative and executive leadership for the Law Enforcement and Security Program.",,,,00Gt0000001Pav1EAC,00Gt0000001Pav2EAC,
HRA/OSP-07D1b Southeast Region Director,001t000000XEDQ8,HRA/OSP-07D1 Director of Operations,001t000000XEDO2,07D1b,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The South East Region Director  is responsible for VA police operations pertaining to accountability, oversight, standardization and strengthening of VA police programs at VA facilities across the Nation. This office spans multi-state areas with regional directors and regional managers. The Office assesses compliance,  standardization, and critical security and law enforcement program actions across the Department.","?Serves as a senior law enforcement and security official within a defined geographical region.                                                                                                                                ?Responsible for the oversight, guidance, and facilitation of the law enforcement and physical security activities at Veterans Affairs Medical Centers/Health Care Systems, Community Based Outpatient Clinics (CBOC), Veterans Benefit Administration Offices, and National Cemetery Administration properties within the region.
 ?Exercises initiative and executive leadership for the Law Enforcement and Security Program.",,,,00Gt0000001PauXEAS,00Gt0000001PauYEAS,
HRA/OSP-07D Office of the Chief of Police,001t000000XEDN4,HRA/OSP-007 Office of the Chief Security Officer,001t0000009wAvN,07D,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Integration VAIQ User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The Office of VA Chief of Police has overall responsibility for VA police training and operations pertaining to accountability, oversight, standardization and strengthening of VA police programs at VA facilities across the Nation.",,,00Gt0000002LazFEAS,,00Gt0000001PatAEAS,00Gt0000001PatBEAS,0
HRA/OSP-07D1 Director of Operations,001t000000XEDO2,HRA/OSP-07D Office of the Chief of Police,001t000000XEDN4,07D1,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The Director of Operations is responsible for VA police operations pertaining to accountability, oversight, standardization and strengthening of VA police programs at VA facilities across the Nation. This office spans multi-state areas with regional directors and regional managers. The Office assesses compliance,  standardization, and critical security and law enforcement program actions across the Department.","?Position serves as the full deputy/alter ego to the Executive Director, Police Operations and shares fully in the duties, responsibilities, and authorities and in all phases of the Office of Chief of Police program and work.                                    ?Provides leadership and direction regarding all law enforcement and security related matters.                                                                                                                                  ?Exercise initiative and executive leadership in managing the Law Enforcement and Security Program.                                                                                                                      ?Ensure ongoing measurement of crime trends/events at VA facilities through reviews of daily and monthly reports of crimes received through formal reporting systems.                                                                                                                                                           ?Inform higher management of changing crime indicators; look for new opportunities to determine crime trends and pushes that to field units.",,,,00Gt0000001PatPEAS,00Gt0000001PatQEAS,
HRA/OSP-07D1a West Region Director,001t000000XEDOb,HRA/OSP-07D1 Director of Operations,001t000000XEDO2,07D1a,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The North East Region Director is responsible for VA police operations pertaining to accountability, oversight, standardization and strengthening of VA police programs at VA facilities across the Nation. This office spans multi-state areas with regional directors and regional managers. The Office assesses compliance,  standardization, and critical security and law enforcement program actions across the Department.","?Serves as a senior law enforcement and security official within a defined geographical region.                                                                                                                                ?Responsible for the oversight, guidance, and facilitation of the law enforcement and physical security activities at Veterans Affairs Medical Centers/Health Care Systems, Community Based Outpatient Clinics (CBOC), Veterans Benefit Administration Offices, and National Cemetery Administration properties within the region.                                                                                                                                                            ?Exercises initiative and executive leadership for the Law Enforcement and Security Program.",,,,,,
HRA/OSP-07D1d Midwest Region Director,001t000000XEDQm,HRA/OSP-07D1 Director of Operations,001t000000XEDO2,07D1d,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The Midwest Region Director is responsible for VA police operations pertaining to accountability, oversight, standardization and strengthening of VA police programs at VA facilities across the Nation. This office spans multi-state areas with regional directors and regional managers. The Office assesses compliance,  standardization, and critical security and law enforcement program actions across the Department.","?Serves as a senior law enforcement and security official within a defined geographical region.                                                                                                                                ?Responsible for the oversight, guidance, and facilitation of the law enforcement and physical security activities at Veterans Affairs Medical Centers/Health Care Systems, Community Based Outpatient Clinics (CBOC), Veterans Benefit Administration Offices, and National Cemetery Administration properties within the region.                                                                                                                                          ?Exercises initiative and executive leadership for the Law Enforcement and Security Program.",,,,00Gt0000001PavBEAS,00Gt0000001PavCEAS,
HRA/OSP-07D2F Academics Programs Division,001t000000XC558,HRA/OSP-07D2 Law Enforcement Training Center,001t0000009wAvW,07D2F,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,7/30/2021,,,Academic Programs Division provides oversight and management of the VA Police Officer Standardized Training (VA POST) Course and the US Department Air Force Civilian Police Academy (DAF CPA).,"Responsibilities include; developing programs and curricula designed to prepare newly hired police officers to provide professional law enforcement services in health care environments or similar limited jurisdictional locations; conducting needs assessments of field operations to ensure currency and validity of training programs, and to provide guidance to facility mangers and Police Service Chiefs concerning training practice and policy.",,,,00Gt0000001PBDEEA4,00Gt0000001PBDFEA4,
HRA/OSP-07D2E Advanced Programs Division,001t000000XC5Nm,HRA/OSP-07D2 Law Enforcement Training Center,001t0000009wAvW,07D2E,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,7/30/2021,,,"Advanced Programs Division develops comprehensive investigative, crime prevention, instructor development, leadership programs, specialty communications, and other government agency specific courses.","Responsibilities include oversight and management of all specialty courses and continuous evaluation of improvements in the law enforcement technology, methodologies, and processes associated with these areas.",,,,,,
