ID;Health Services;Full Upload;Health System;Owner
Addiction and substance abuse care at VA Amarillo health care;Addiction and substance abuse care;<H3>Care we provide at VA Amarillo health care</H3><p>We help Veterans on their recovery journey through outpatient and inpatient services. Our residential facility helps Veterans deal with substance abuse, homelessness, mental health, and unemployment through its 24-hour therapeutic and educational programs like:<p><ul><li>Rehabilitation</li><li>Health maintenance</li><li>Community support</li></ul><a href="https://www.mentalhealth.va.gov/res-vatreatmentprograms.asp">Learn more about our VA treatment programs</a>;VA Amarillo health care;VA Amarillo health care
Audiology and speech at VA Amarillo health care;Audiology and speech;<H3>Care we provide at VA Amarillo health care</H3><p>Our Audiology and Speech Pathology clinic provides diagnostic and rehabilitative services, VA compensation and pension examinations, and screening for employee hearing conservation. We offer a full range of audiology and speech pathology services like:<p><ul><li>Hearing and balance evaluations</li><li>Selection, management, and repair of hearing aids and assistive listening device assessments</li><li>Evaluation, programming, and management of cochlear implants and bone-anchored implants</li><li>Evaluation and treatment for auditory processing disorder</li><li>Services that help with speech, language, fluency, voice, cognitive communication, swallowing, stuttering, and laryngectomy (surgical removal of the larynx, which contains your vocal cords)</li></ul><p><a href="https://www.prosthetics.va.gov/psas/Hearing_Aids.asp">Learn more about VA hearing aids</a>;VA Amarillo health care;VA Amarillo health care
Cardiology at VA Amarillo health care;Cardiology;'<H3>Care we provide at VA Amarillo health care</H3><p>We perform noninvasive and minimally invasive tests and procedures that check, support, and improve your heart health. We''ll work with you to develop a personalized treatment plan and treat you with the most effective medications. Our services include:<p><ul><li>Evaluating you for coronary heart disease, heart-valve disease, and heart defects</li><li>Determining how well blood flows through your heart vessels or find the cause of your heart failure</li><li>Treating your heart vessels with nonsurgical or minimally invasive operations that open and support them through balloon angioplasty or stent placement</li><li>Noninvasively monitoring you for changes in heart rhythm, using electrocardiograms (EKGs or ECGs), portable Holt monitors, or ultrasound</li><li>Performing surgical treatments like pacemaker implants or cardiac catheterization (inserting a long, thin tube into an artery or vein)</li></ul>';VA Amarillo health care;VA Amarillo health care
Caregiver support at VA Amarillo health care;Caregiver support;'<H3>Care we provide at VA Amarillo health care</H3><p>If you''re a caregiver for a Veteran, you can get support by contacting one of our caregiver support coordinators. If the Veteran you care for was injured post-9/11, you may be eligible for even more services, including a stipend to help with expenses, training, and medical coverage if you aren''t already covered. For all caregivers, we can:<p><ul><li>Help you get caregiver assistance available through VA</li><li>Provide progressive needs planning to help you manage degenerative conditions</li><li>Match you with services and benefits</li><li>Connect you with local resources and programs</li><li>Listen to you when you struggle</li></ul><p>Learn more and connect with a support coordinator';VA Amarillo health care;VA Amarillo health care
Critical care at VA Amarillo health care;Critical care;<H3>Care we provide at VA Amarillo health care</H3><p>Doctors in our intensive care units (ICUs) treat patients with serious illnesses or injuries, such as life-threatening infections, severe burns, brain injuries, and organ failure. Our critical care doctors (called intensivists) and nurses provide you with a full range of services, like:<p><ul><li>Monitor your heart rate, blood pressure, and breathing with cardiac and oxygen telemetry</li><li>Help your lungs work using a mechanical ventilator</li><li>Provide nutrition through a feeding tube in your vein, nose or mouth</li><li>Drain urine from your bladder using a catheter</li><li>Give fluids and medicine through your vein using an IV pump</li><li>Help prevent blood clots in your legs by using inflatable compression wraps and boots</li></ul>;VA Amarillo health care;VA Amarillo health care
Dental/oral surgery at VA Amarillo health care;Dental/oral surgery;'<H3>Care we provide at VA Amarillo health care</H3><p>If you''re eligible for VA dental care, we offer a full range of quality dental services like:<p><ul><li>Routine exams and teeth cleaning</li><li>Restorative procedures, including fillings and crowns</li><li>Comprehensive surgical care, including extractions (pulling teeth) and oral cancer screening</li><li>Routine and advanced prosthodontic care, including bridges, dentures, and dental implants</li><li>Routine and advanced periodontal care, including root canals, gum treatments, and supporting bone care</li><li>Oral and facial reconstruction surgery to repair damage from traumatic injury or serious illness</li></ul>';VA Amarillo health care;VA Amarillo health care
Dermatology at VA Amarillo health care;Dermatology;<H3>Care we provide at VA Amarillo health care</H3><p>We provide care for many medical and surgical skin conditions. Our dermatology services include:<p><ul><li>Medically necessary treatments for skin conditions like skin cancer and rashes</li><li>Specialized treatments for acute (short-term) and chronic (long-lasting) skin conditions, like psoriasis, eczema, warts, and fungal illnesses</li><li>Evaluation, biopsy, and treatment of cancerous or pre-cancerous skin conditions, like abnormal moles and lesions.</li><li>Referrals for complex conditions</li><li>Teledermatology (a telehealth resource), which gives patients quick access to expert opinions</li></ul>;VA Amarillo health care;VA Amarillo health care
Emergency care at VA Amarillo health care;Emergency care;<H3>Care we provide at VA Amarillo health care</H3><p>We provide emergency medical care 24 hours a day, every day. Our emergency room staff can help you with:<p><ul><li>Life-threatening illnesses and injuries that require immediate attention</li><li>Urgent medical issues that must be treated right away</li><li>Psychiatric evaluations</li></ul>;VA Amarillo health care;VA Amarillo health care
Endocrinology at VA Amarillo health care;Endocrinology;<H3>Care we provide at VA Amarillo health care</H3><p>We diagnose and treat hormone imbalances and other endocrine system problems that can create or complicate serious medical conditions like diabetes, obesity, and thyroid or parathyroid disorders. Our endocrinologists can:<p><ul><li>Measure the level of various hormones in your body</li><li>Measure your blood glucose level</li><li>Determine the cause and proper treatment of endocrine and metabolic disorders</li></ul>;VA Amarillo health care;VA Amarillo health care
Extended care and rehabilitation at VA Amarillo health care;Extended care and rehabilitation;'<H3>Care we provide at VA Amarillo health care</H3><p>We provide long-term care to help you and your family when you''re dealing with a disability, chronic (long-lasting) illness, terminal illness, or serious health issues related to aging. Our long-term health care services include:<p><ul><li>24/7 nursing and medical care</li><li>Physical therapy</li><li>Help with daily tasks like bathing, dressing, making meals, and taking medicine</li><li>Pain management and palliative care to relieve suffering and improve quality of life for people with serious illnesses</li><li>Hospice care to provide comfort and compassionate care for people in the last phases of an incurable illness</li><li>To learn more about the different types of extended care that VA provides, see our guide to long-term services and support.</li></ul><p><a href="https://www.va.gov/GERIATRICS/">Learn more about VA long-term care</a>';VA Amarillo health care;VA Amarillo health care
